asin,title,price_value,rating,helpfulVoteCount,sentiment_score,liked
B07HNVR4ZD,Wrangler Authentics Men's Relaxed Fit Boot Cut Jean,27.0,4.4,0,0.2531364468864469,1
B07HNWC5LC,Wrangler Authentics Men's Classic Cargo Stretch Short,26.85,4.9,34,0.26365844979039765,1
B07HNWNXM2,Wrangler Authentics Men's Comfort Flex Waist Relaxed Fit Jean,29.99,4.8,24,0.22986689964624746,1
B07HR877BN,Nautica Men's Short Sleeve Solid Crew Neck T-Shirt,24.99,4.642857142857143,4,0.2136710588793922,1
B07HR8C4X3,Nautica Men's Solid Deck Shirt,29.99,4.8,0,0.5504166666666667,1
B07J31WFNB,Amazon Essentials Skinny Jeans for Women (Stretchy),17.2613,4.5,462,0.21373663009921126,1
B07J6784R8,Nautica Men's Classic Fit Short Sleeve Dual Tipped Collar Polo Shirt,26.7,5.0,0,0.625,1
B07J9PZGX4,Nautica Men's Solid Crew Neck Short-Sleeve Pocket T-Shirt,17.2721,4.7,0,0.358693056943057,1
B07JBRGFH4,"Gildan Men's Crew T-Shirts, Multipack, Style G1100",21.97,4.636363636363637,76,0.24415992701730513,1
B07JDGJ4P2,"Gildan Men's Underwear Covered Waistband Boxer Briefs, Multipack",17.5,4.7,51,0.2794875095328791,1
B07JHY96QC,Amazon Essentials Men's Athletic-Fit Casual Stretch Chino Pant (Available in Big & Tall),23.7,4.6,21,0.27653187229437226,1
B07JQ12R59,Polo Ralph Lauren Men's Ribbed Casual Crew Socks -3 Pair Pack- Cotton Comfort & Heel-toe Reinforcement,24.0,4.8,4,0.22849988662131518,1
B07JR4NDKS,Grunt Style 1776 Flag,29.99,4.833333333333333,0,0.40717757936507937,1
B07JVL5CW2,Plaid&Plain Men's Skinny Stretchy Khaki Pants Colored Pants Slim Fit Slacks Tapered Trousers,27.99,5.0,2,0.17786931818181814,1
B07K6V9763,The Children's Place Boys' Stretch Straight Leg Jeans,23.99,4.6,0,0.3034583333666666,1
B07KQVKMPP,"Gildan Men's Underwear Boxers, Multipack",19.99,4.6,18,0.28055654612272257,1
B07KWV1N5V,Springrain Men's Wool Blend Pea Coat Notched Collar Single Breasted Overcoat Warm Winter Trench Coat,59.989999999999995,4.2,31,0.29697807557852196,1
B07L57PG34,TACVASEN Men's Winter Jacket Cotton Military Jackets Fleece Lined Thick Work Warm Cargo Coats with Hooded,68.3837,4.6,34,0.3012912030596972,1
B07LGQ884Z,Rustler Men's Classic Regular Fit,13.982599999999998,4.818181818181818,18,0.33675148925148923,1
B07LGVSPKF,Rustler Men's Classic Relaxed Fit,13.987,4.5,45,0.22198691450571148,1
B07M6SSQXH,"Burt's Bees Baby Boys' Sleep & Play PJs, 100% Organic Cotton One-Piece Zip Front Jumpsuit, Baby Boys Footie Pajamas & PJs",14.95,4.9,0,0.22239467592592593,1
B07NDP7ZTX,Real Essentials 5 Pack: Men's Mesh Athletic Basketball Shorts Quick Dry Activewear with Pockets,33.99,4.6,2,0.3616286356023098,1
B07NHW8Z3N,Kingsted T-Shirts for Men Pack - Royally Comfortable - Super Soft Premium Fabric - Well-Crafted Classic Tee,39.992,4.6,25,0.26776903714294065,1
B07NSQNLPB,Tommy Hilfiger Chino Pants Custom Fit,53.3233,4.6,15,0.45766686521150807,1
B07NWZ6PBF,Real Essentials 4 Pack: Men's Dry-Fit UV Moisture Wicking UPF 50+ SPF Sun Protective Fishing Hiking Active Long Sleeve Shirt,34.993,4.7,6,0.2556458818958819,1
B07NX8H7QZ,Haggar Men's Iron Free Premium Khaki Classic Fit Pleat Front Expandable Waist Casual Pant (Regular and Big & Tall Sizes),35.782,4.666666666666667,0,0.41637844611528824,1
B07P7XLJDF,"Royal Kurta Mens Polyviscose Bandhgala Kneelong Sherwani (40, Black)",100.0,1.0,2,-0.025,0
